Text,Word Number,Line Start,Line End,Normalized,Language,Number
mare0080.xml,1,1,1,ראש,arc,0
mare0080.xml,2,1,1,גמרת,arc,0
mare0080.xml,3,1,1,עליאל,arc,0
mare0080.xml,4,2,2,יבנאל,arc,0
mare0080.xml,5,2,2,קוסיד,arc,0
mare0080.xml,6,2,2,כל,arc,0
mare0080.xml,7,3,3,דכרי,arc,0
mare0080.xml,8,3,3,ינקתא,arc,0
mare0080.xml,9,4,4,לגבר,arc,0
mare0080.xml,10,4,4,חא,arc,0
mare0080.xml,11,5,5,יזדו,arc,0
mare0080.xml,12,5,5,ב,arc,0
