Text,Word Number,Line Start,Line End,Normalized,Language,Number
mger0001.xml,1,1,1,זי,arc,0
mger0001.xml,2,1,1,הקרב,arc,0
mger0001.xml,3,1,1,אלעזר,arc,0
mger0001.xml,4,1,1,בר,arc,0
mger0001.xml,5,1,1,על,arc,0
mger0001.xml,6,1,1,נפשה,arc,0
mger0001.xml,7,2,2,ועל,arc,0
mger0001.xml,8,2,2,אמה,arc,0
mger0001.xml,9,2,2,אנתתה,arc,0
mger0001.xml,10,2,2,ובנוהי,arc,0
