Text,Word Number,Line Start,Line End,Normalized,Language,Number
zoor0216.xml,1,1,1,+,grc,0
zoor0216.xml,2,2,2,εἶς,grc,0
zoor0216.xml,3,2,2,θεός,grc,0
zoor0216.xml,4,2,2,ὀ,grc,0
zoor0216.xml,5,2,2,πάντω,grc,0
zoor0216.xml,6,3,3,ν,grc,0
zoor0216.xml,7,3,3,δε,grc,0
zoor0216.xml,8,3,3,σπότης,grc,0
zoor0216.xml,9,3,3,μνημεῖον,grc,0
zoor0216.xml,10,4,4,σωφρονία,grc,0
zoor0216.xml,11,4,4,σαδάλλο,grc,0
zoor0216.xml,12,5,5,υ,grc,0
zoor0216.xml,13,5,5,ἀποθανούσης,grc,0
zoor0216.xml,14,5,5,μετὰ,grc,0
zoor0216.xml,15,6,6,καλοῦ,grc,0
zoor0216.xml,16,6,6,ὀνόματoς,grc,0
zoor0216.xml,17,7,7,ετῶν,grc,0
zoor0216.xml,18,7,7,κʹ,grc,0
zoor0216.xml,19,7,7,ἐν,grc,0
zoor0216.xml,20,7,7,ἔτει,grc,0
zoor0216.xml,21,7,7,τξʹ,grc,0
zoor0216.xml,22,8,8,μηνὶ,grc,0
zoor0216.xml,23,8,8,ἀπελλαίου,grc,0
zoor0216.xml,24,8,8,ιβʹ,grc,0
zoor0216.xml,25,9,9,ἡμέρᾳ,grc,0
zoor0216.xml,26,9,9,ἄρεως,grc,0
zoor0216.xml,27,9,9,θάρσει,grc,0
zoor0216.xml,28,9,9,οὐδεὶς,grc,0
zoor0216.xml,29,9,9,ἀθάνατος,grc,0
zoor0216.xml,30,9,9,+,grc,0
zoor0216.xml,31,9,9,+,grc,0
