,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,zoor0124.xml,1,1,1,+,grc,0,,,,
1,zoor0124.xml,2,2,2,μνημεῖον,grc,0,,,,
2,zoor0124.xml,3,3,3,ὀλέφθα,grc,0,,,,
3,zoor0124.xml,4,4,4,ἄψητος,grc,0,,,,
4,zoor0124.xml,5,5,5,ἀποθανόν,grc,0,,,,
5,zoor0124.xml,6,6,6,τος,grc,0,,,,
6,zoor0124.xml,7,6,6,ἐτῶν,grc,0,,,,
7,zoor0124.xml,8,6,6,πʹ,grc,0,,,,
8,zoor0124.xml,9,7,7,ἐν,grc,0,,,,
9,zoor0124.xml,10,7,7,ἔτει,grc,0,,,,
10,zoor0124.xml,11,7,7,τιηʹ,grc,0,,,,
11,zoor0124.xml,12,8,8,μηνὸς,grc,0,,,,
12,zoor0124.xml,13,8,8,πε,grc,0,,,,
13,zoor0124.xml,14,9,9,ριτίου,grc,0,,,,
14,zoor0124.xml,15,9,9,κθʹ,grc,0,,,,
15,zoor0124.xml,16,10,10,ἡμέρᾳ,grc,0,,,,
16,zoor0124.xml,17,10,10,κυρίου,grc,0,,,,
17,zoor0124.xml,18,10,10,δʹ,grc,0,,,,
18,zoor0124.xml,19,11,11,+,grc,0,,,,
