,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,idum0087.xml,1,1,1,ב,arc,0,,,,
1,idum0087.xml,2,1,1,20,arc,0,,,,
2,idum0087.xml,3,1,1,לאב,arc,0,,,,
3,idum0087.xml,4,1,1,חין,arc,0,,,,
4,idum0087.xml,5,1,1,לבני,arc,0,,,,
5,idum0087.xml,6,1,1,גור,arc,0,,,,
6,idum0087.xml,7,1,1,שס,arc,0,,,,
7,idum0087.xml,8,1,1,10,arc,0,,,,
8,idum0087.xml,9,2,2,על,arc,0,,,,
9,idum0087.xml,10,2,2,יד,arc,0,,,,
10,idum0087.xml,11,2,2,חס,arc,0,,,,
11,idum0087.xml,12,2,2,2,arc,0,,,,
