,Text,Word Number,Line Start,Line End,Normalized,Language,Number,POS Tagger Word,Part of Speech,Part of Speech (Secondary Info),POS Tagger Lemma
0,idum0069.xml,1,1,1,ב,arc,0,,,,
1,idum0069.xml,2,1,1,12,arc,0,,,,
2,idum0069.xml,3,1,1,לתמוז,arc,0,,,,
3,idum0069.xml,4,1,1,שנת,arc,0,,,,
4,idum0069.xml,5,1,1,8,arc,0,,,,
5,idum0069.xml,6,2,2,קוסנקם,arc,0,,,,
6,idum0069.xml,7,2,2,לבני,arc,0,,,,
7,idum0069.xml,8,2,2,גור,arc,0,,,,
8,idum0069.xml,9,3,3,למסכנת,arc,0,,,,
9,idum0069.xml,10,3,3,מנקדה,arc,0,,,,
10,idum0069.xml,11,4,4,חס,arc,0,,,,
11,idum0069.xml,12,4,4,9,arc,0,,,,
12,idum0069.xml,13,4,4,ק,arc,0,,,,
13,idum0069.xml,14,4,4,3,arc,0,,,,
14,idum0069.xml,15,4,4,ף,arc,0,,,,
15,idum0069.xml,16,5,5,לזבנתא,arc,0,,,,
16,idum0069.xml,16,5,5,לזבונא,arc,0,,,,
17,idum0069.xml,17,5,5,חס,arc,0,,,,
18,idum0069.xml,18,5,5,9,arc,0,,,,
19,idum0069.xml,19,6,6,ק,arc,0,,,,
20,idum0069.xml,20,6,6,3,arc,0,,,,
21,idum0069.xml,21,6,6,ף,arc,0,,,,
